snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        27     144285      2.75487375 1555.67736816   8.6635e+09   2.3886e+09    3.182e+11   2.4778e+07   1.1077e+10   5.60600000   0.00310080 19776.083317 5006.113115 1643.02856445      49468 19775.679656 5006.942666 1485.11349752          0          0          0   0.476814  -1.660586  -0.448985  -0.085776   4.674524   2.537311   0.051592   4.760837   9.283652 1430.830996  87.676727  65.921170   1.142817   4.469429   0.219754   0.000000   0.000000   0.030715      49468
        44     223947      1.29516518  43.13221359   5.3444e+07   9.6138e+07   8.2675e+08    1523100.0   1.5111e+08   0.04590000   0.00002317 19313.122759 4858.153392  42.34797287      49474 19319.231363 4880.702852  75.19644110          0          0          0   0.399660  -1.570168  -0.893555  -0.149590   0.949652   2.298488   0.118631   7.038328  11.636632  89.834957  31.136062  35.708942   0.696743   5.946940   0.768493   0.005988   0.000000   0.109241      49474
        29     220049      2.48099303 326.85552979   7.8041e+08   1.6629e+09   2.2836e+11    1841100.0   2.4451e+09   1.60230000   0.00017108 6037.878506 4877.234776 318.06387329      49477 6037.646188 4877.245601 241.38126672          0          0          0   0.487595  -1.604616  -0.434405  -0.067322   2.295512   2.542241   0.157314   4.138778   7.818651 243.392123  45.692272  43.244414   1.167090   3.786161   0.442935   0.000000   0.000000   0.024165      49477
        29     220051      2.48092294  33.69300842   1.1719e+08   5.3827e+08   4.5169e+09          0.0   6.5546e+08   0.13600000   0.00000000 6054.678519 4894.994817  31.81453133      49478 6051.653480 4895.447825  25.46527362          1          0          0   0.571084  -1.550533  -0.058616   0.022849   0.435772   3.460683   0.779570   8.261567  22.664175  47.424496  24.769604  23.371952   0.595252   4.979247   0.294269   0.022989   0.000000   0.074581      49478
        32     361053      2.12074304 197.89518738    6.662e+08   1.8834e+09   1.0186e+11    1722900.0   2.5513e+09   0.80930000   0.00007511 17175.680978 4889.715451 213.90802002      49480 17177.997436 4890.299434 181.28513791          0          0          0   0.615899  -1.261160  -0.037318   0.107438   0.937942   2.972442   0.643064   5.997385  13.943272 200.476352  38.955540  53.219234   1.074410   6.604990   0.505889   0.041935   0.037032   0.239449      49480
        22      54803      3.66887355  50.82822800   1.8973e+08   6.5262e+08   1.9769e+09          0.0   8.4235e+08   1.02210000   0.00000000 18504.081941 4880.594271  43.44465256      49497 18503.033087 4878.696003  51.09413287          0          0          0   0.372608  -1.450166  -1.110628  -0.159692   1.184068   2.094425   0.229109   5.120174   7.482134  55.734867  28.153361  23.999202   0.553581   4.579031   0.916264   0.000000   0.000000   0.162179      49497
        22      54802      3.66890121 1338.97253418   4.1991e+09   5.7346e+09   4.4811e+11    4811100.0   9.9385e+09  28.89310000   0.00521870 18501.681939 4894.754294 1221.29748535      49498 18502.080033 4895.178359 1135.23728705          0          0          0   0.485583  -1.630673  -0.426305  -0.072936   5.380527   2.500247   0.079524   3.838287   7.517779 1099.260770  62.073733  49.173008   1.108350   3.665471   0.372950   0.000000   0.000000   0.025012      49498
        36     206695      1.81347299 4132.24462891    1.086e+10   3.4472e+09   7.3348e+11   5.0251e+07   1.4358e+10   2.55220000   0.00391270 21431.605918 4921.390839 4571.76855469      49500 21432.864717 4922.471984 4244.39306860          0          0          0   0.591048  -2.013012   0.360704  -0.021671   4.801015   3.454105   0.061456   8.197767  16.841764 3846.739855 176.711638 139.398673   2.772034   8.396062   0.401522   0.000000   0.000000   0.021641      49500
        38     119063      1.65686083 3060.95141602   9.6921e+09   2.9848e+09   1.1044e+11   4.7351e+07   1.2724e+10   3.25650000   0.00514890 21557.966159 4960.270738 3536.01904297      49501 21556.644867 4961.105544 3752.19174862          1          0          0   0.607322  -2.097335   0.499698  -0.017281   3.459235   3.859809   0.148699   7.675335  17.551819 3525.575447 162.679642 147.972198   2.798609   6.596553   0.293234   0.014423   0.000000   0.063592      49501
        38     119061      1.65681410 12214.65917969    2.651e+10   2.2049e+10    2.293e+12   8.7897e+07   4.8648e+10  30.17630000   0.00552240 21584.366210 5069.470920 13367.79003906      49502 21585.222304 5072.811262 12991.58760524          0          0          0   0.538945  -1.855010  -0.006702  -0.051291   4.809160   3.376557   0.276519  15.005097  26.387380 11912.869590 269.206638 255.356334   2.082484  14.540451   0.557864   0.015152   0.016657   0.099712      49502
