snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        37     174982      1.74528635 8690.02539062   4.1685e+10   3.2601e+07   1.4544e+12   3.1288e+08    4.203e+10   0.00000000   0.00009495 21309.085690 5133.431424 54835892224.00000000      49507 21308.671912 5135.385856 56395426758.97610474          1          0          0   0.544242  -1.847452   0.014281  -0.044996 12632.798805   3.124562   0.042411   6.487760  12.836882 50479159909.225632 182.917533 214.138705   1.019351   6.410396   0.446442   0.000000   0.000000   0.004630      49507
        65       7362      0.56591803 2044.23413086   1.2934e+09          0.0   3.2068e+10    2038400.0   1.2955e+09   0.00000000   0.00000000 21197.365488 5172.311647 1599729024.00000000      49508 21201.223700 5176.059780 2465340289.30111265          1          1          0   0.868350  -1.449947   1.343146   0.331124 190.523539   0.781688   1.611844 119.800343 132.116183 11857933449.946295 218.172055 186.561462   1.996355  21.444003   0.507932   0.307424   0.280196   0.328681      49508
        27      50149      2.75346398 7422.39404297   2.9752e+10   9.0717e+09   1.5679e+12   8.4098e+07   3.8908e+10  28.03760000   0.01172300 21775.646589 5271.551052 41764552704.00000000      49513 21770.067190 5264.174197 39908001244.38944244          0          0          0   0.511123  -1.623883  -0.304593  -0.046708 29271.748897   2.723905   0.098866   4.256913   7.941932 32526383843.253639 179.584543 219.710063   1.591112   2.452345   0.385720   0.000000   0.000000   0.144291      49513
        65       7750      0.56596029 917.92797852   5.4732e+08          0.0   6.1826e+08          0.0   5.4732e+08   0.00000000   0.00000000 21696.926431 5313.071242 618287872.00000000      49519 21696.746701 5311.899728 969216785.12162137          0          0          0   0.485425  -1.571520  -0.468082  -0.064871 4720.539700   2.604024   0.055400   4.822191   7.410015 803942552.627643  47.864867  62.565432   3.341111   7.980048   0.669964   0.000000   0.000000   0.035657      49519
        65     475004      0.56316268 1042.49121094   3.0768e+08   6.2843e+08   4.1025e+10    2098200.0   9.3821e+08   0.13940000   0.00002323 22255.047607 5362.630556 390372384.00000000      49523 22251.012293 5368.949012 1026734167.77474153          0          1          0   0.610647  -1.134289  -0.151233   0.119875 742.228767   2.208833   0.665241  23.709614  54.409440 1206293891.662343 156.438795 156.937398   8.115185 2745.149186   0.290142   0.893617   0.913732   0.302788      49523
        65       7471      0.56595892 6857.28515625    1.235e+09   4.6411e+08   2.2411e+09          0.0   1.6991e+09   1.09590000   0.00000000 21654.926348 5369.111407 1430901760.00000000      49527 21636.574117 5359.405213 3848851387.41809559          1          1          0   0.901091  -0.618743   0.929191   0.479075   4.727688   2.512901   1.082453 190.792107 425.096947 16439374993.700575 375.375287 244.652844   1.000000 190.792107   1.124143   0.076825   0.162155   0.560672      49527
        62     349648      0.64046383 1060.55285645   3.9548e+08   1.2984e+09   1.4115e+11    1554200.0   1.6955e+09   0.18520000   0.00001603 22360.647844 5415.070511 545229120.00000000      49535 22348.417670 5424.229781 1139523006.72628045          0          1          0   0.584857  -1.413384  -0.085483   0.055548  29.698062   2.882881   0.592052  49.016244 138.098556 1839024547.407683 191.925283 160.557537   7.249903 3990.371986   0.283740   0.867174   0.677582   0.221575      49535
        29     112539      2.36534548 6624.39355469   2.4316e+10   5.0797e+09    9.522e+11   8.3849e+07   2.9479e+10  27.29090000   0.09098500 21631.526302 5461.511614 34683392000.00000000      49540 21623.933579 5454.522818 36009580758.80953979          0          0          0   0.611430  -2.090347   0.515188  -0.012243 13798.654016   3.674335   0.123402  14.056919  20.021978 31084257018.835060 274.925898 238.741324   9.379934  27.728193   0.871884   0.000000   0.000000   0.057955      49540
        55     428496      0.83346796 13303.98339844   9.3582e+09   5.4477e+09   3.4063e+11   1.6578e+07   1.4822e+10   3.90580000   0.00140990 22230.447552 5479.270827 11074165760.00000000      49541 22226.592986 5483.998519 12577543680.15211296          0          0          0   0.468294  -1.608924  -0.526962  -0.087030 4874.541448   2.501275   0.227429  16.010144  28.582645 11757832216.268204 252.328672 303.291328   1.144770  13.208417   0.427247   0.000000   0.000000   0.077305      49541
        65       7403      0.56596941 20533.81640625   2.0281e+09   1.2477e+09   4.0921e+09          0.0   3.2757e+09   9.40530000   0.00000000 21724.646487 5471.591509 2546176000.00000000      49542 21723.156194 5470.164105 5538722448.73240280          1          1          0   0.650938  -0.910495  -0.106883   0.190870   4.252073   1.733881   0.492150  74.155067 142.362022 19593570232.889877  95.561758  78.502040   1.000000  74.155067   0.657990   0.020499   0.008114   0.143465      49542
        65       7518      0.56597155 1851.39282227   1.0626e+08   1.6918e+09   2.2105e+09          0.0    1.798e+09   1.34120000   0.00000000 21584.966211 5476.151703 120212168.00000000      49543 21574.335339 5474.221585 2046580069.50247955          1          1          0   0.507371  -0.712584  -0.954693   0.076248 1395.431818   1.460222   0.995223  37.331409  56.094358 2046580069.502480 168.599569 110.408900   1.000000  37.331409   0.733488   0.324074   0.637863   0.286422      49543
