snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        27     144285      2.75487375 1555.67736816   8.6635e+09   2.3886e+09    3.182e+11   2.4778e+07   1.1077e+10   5.60600000   0.00310080 19776.083317 5006.113115 521.41992188      49468 19775.679656 5006.942666 419.69891626          0          0          0   0.569611  -1.092686  -0.383195   0.085031   3.046874   2.541959   0.502476   3.853429   8.546175 401.322186  87.364194  66.413911   0.797028   2.710343   0.936044   1.000000   0.045654   0.090553      49468
        44     223947      1.29516518  43.13221359   5.3444e+07   9.6138e+07   8.2675e+08    1523100.0   1.5111e+08   0.04590000   0.00002317 19313.122759 4858.153392  17.18193054      49474 19319.231363 4880.702852  74.51928930          0          0          0   0.483841  -1.150775  -0.767500  -0.007955   1.254080   1.907582   0.679745   4.940526   9.056997  75.574432  30.871650  34.405079   0.330419   4.902267   0.421053   0.189189   0.317527   0.380203      49474
        29     220049      2.48099303 326.85552979   7.8041e+08   1.6629e+09   2.2836e+11    1841100.0   2.4451e+09   1.60230000   0.00017108 6037.878506 4877.234776 242.36262512      49477 6037.646188 4877.245601 164.89867110          0          0          0   0.508299  -1.191932  -0.617911   0.010537   2.627005   2.552563   0.504982   3.658555   5.545371 139.758036  45.227518  43.058167   1.074205   1.875314   1.139876   1.000000   0.000000   0.139043      49477
        29     220051      2.48092294  33.69300842   1.1719e+08   5.3827e+08   4.5169e+09          0.0   6.5546e+08   0.13600000   0.00000000 6054.678519 4894.994817  28.99397278      49478 6051.653480 4895.447825  27.81303589          0          0          0   0.447816  -1.424468  -0.756153  -0.081663   1.083870   2.340204   0.339384   3.072377   5.823696  28.367917  24.160774  24.919728   0.478500   2.625191   0.939298   0.000000   0.000000   0.137528      49478
        32     361053      2.12074304 197.89518738    6.662e+08   1.8834e+09   1.0186e+11    1722900.0   2.5513e+09   0.80930000   0.00007511 17175.680978 4889.715451  80.37112427      49480 17177.997436 4890.299434  63.79081922          1          1          0   0.570203  -1.047530  -0.411555   0.091895   0.678833   1.915068   0.602208   8.007266  13.148284  68.061957  39.988891  54.287342   1.000000   8.007266   0.681782   0.577465   0.512264   0.310284      49480
        22      54803      3.66887355  50.82822800   1.8973e+08   6.5262e+08   1.9769e+09          0.0   8.4235e+08   1.02210000   0.00000000 18504.081941 4880.594271  38.88570404      49497 18503.033087 4878.696003  40.64490951          0          0          0   0.429754  -0.950778  -1.173826  -0.033701   1.364822   1.884904   0.343468   2.886596   5.327746  41.016450  26.894199  22.821908   0.355166   2.859558   0.407292   0.333333   0.000000   0.280498      49497
        22      54802      3.66890121 1338.97253418   4.1991e+09   5.7346e+09   4.4811e+11    4811100.0   9.9385e+09  28.89310000   0.00521870 18501.681939 4894.754294 640.35241699      49498 18502.080033 4895.178359 604.77049792          0          0          0   0.517715  -1.394495  -0.430927  -0.008297   4.814672   2.708385   0.419361   3.785701   7.024016 579.222821  61.862851  49.171633   0.699010   2.343473   0.608199   0.115385   0.000000   0.081926      49498
        36     206695      1.81347299 4132.24462891    1.086e+10   3.4472e+09   7.3348e+11   5.0251e+07   1.4358e+10   2.55220000   0.00391270 21431.605918 4921.390839 935.15191650      49500 21432.864717 4922.471984 924.13428998          0          0          0   0.687970  -2.354877   1.077383   0.026763   1.470103   4.390648   0.574151  17.841842  35.820271 908.119417 179.899469 140.445607   2.123849   3.386003   0.426054   0.213992   0.185307   0.058990      49500
        38     119063      1.65686083 3060.95141602   9.6921e+09   2.9848e+09   1.1044e+11   4.7351e+07   1.2724e+10   3.25650000   0.00514890 21557.966159 4960.270738 1141.82446289      49501 21556.644867 4961.105544 1238.48323463          0          0          0   0.394441  -1.102509  -1.243477  -0.089752   7.332786   2.005013   0.485877  16.625916   5.255012 518.362789 162.017015 149.090077   0.407516   1.612044   1.163294   0.500000   0.000000   0.278715      49501
        38     119061      1.65681410 12214.65917969    2.651e+10   2.2049e+10    2.293e+12   8.7897e+07   4.8648e+10  30.17630000   0.00552240 21584.366210 5069.470920 6815.79638672      49502 21585.222304 5072.811262 6336.70105196          1          1          0   0.590785  -1.418681  -0.052470   0.060680   3.257301   3.079573   0.850514  16.682692  27.335147 5946.439387 268.985692 255.530632   1.620753  16.682692   0.682006   0.133017   0.713439   0.342542      49502
