snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        27     144285      2.75487375 1555.67736816   8.6635e+09   2.3886e+09    3.182e+11   2.4778e+07   1.1077e+10   5.60600000   0.00310080 19776.083317 5006.113115 1793.50036621      49468 19775.679656 5006.942666 1630.87385188          0          0          0   0.469023  -1.657113  -0.489957  -0.093006   4.708304   2.466132   0.036168   4.962798   9.669975 1583.683456  87.684817  65.904085   1.053519   4.678875   0.231718   0.000000   0.000000   0.028462      49468
        44     223947      1.29516518  43.13221359   5.3444e+07   9.6138e+07   8.2675e+08    1523100.0   1.5111e+08   0.04590000   0.00002317 19313.122759 4858.153392  42.41645432      49474 19319.231363 4880.702852  74.00117031          0          0          0   0.413436  -1.578026  -0.819918  -0.137044   0.889099   2.271035   0.082770   7.313459  12.203671  90.086390  31.230301  35.842932   0.632708   6.219886   0.784779   0.005128   0.000000   0.024856      49474
        29     220049      2.48099303 326.85552979   7.8041e+08   1.6629e+09   2.2836e+11    1841100.0   2.4451e+09   1.60230000   0.00017108 6037.878506 4877.234776 314.19085693      49477 6037.646188 4877.245601 240.63513419          0          0          0   0.469375  -1.639816  -0.500202  -0.090253   2.154858   2.464143   0.102368   4.544221   8.368913 246.800966  45.718192  43.220395   0.992228   4.045461   0.394311   0.000000   0.000000   0.016510      49477
        29     220051      2.48092294  33.69300842   1.1719e+08   5.3827e+08   4.5169e+09          0.0   6.5546e+08   0.13600000   0.00000000 6054.678519 4894.994817  30.83430481      49478 6051.653480 4895.447825  24.68785052          0          0          0   0.499894  -1.508882  -0.439871  -0.041840   0.491294   2.865909   0.731955   7.992266  13.760914  43.712590  24.832746  23.125020   0.577518   5.239488   0.353653   0.018519   0.000000   0.104057      49478
        32     361053      2.12074304 197.89518738    6.662e+08   1.8834e+09   1.0186e+11    1722900.0   2.5513e+09   0.80930000   0.00007511 17175.680978 4889.715451 211.85821533      49480 17177.997436 4890.299434 178.61572203          0          0          0   0.545575  -1.219260  -0.414458   0.043642   1.112841   2.698875   0.641256   5.902270  12.130392 190.686297  38.997867  53.241123   0.995943   8.328745   1.414306   0.037736   0.000000   0.242983      49480
        22      54803      3.66887355  50.82822800   1.8973e+08   6.5262e+08   1.9769e+09          0.0   8.4235e+08   1.02210000   0.00000000 18504.081941 4880.594271  39.71617126      49497 18503.033087 4878.696003  46.83693694          0          0          0   0.377198  -1.328713  -1.172072  -0.138265   1.071331   2.025947   0.218038   5.224204   7.633724  51.774158  28.260021  24.105517   0.495698   4.968648   1.067128   0.000000   0.000000   0.144439      49497
        22      54802      3.66890121 1338.97253418   4.1991e+09   5.7346e+09   4.4811e+11    4811100.0   9.9385e+09  28.89310000   0.00521870 18501.681939 4894.754294 1183.34912109      49498 18502.080033 4895.178359 1101.61460837          0          0          0   0.472644  -1.631690  -0.489649  -0.085887   4.867433   2.422438   0.055488   4.128601   8.118282 1078.084260  62.061996  49.177882   1.003436   3.964714   0.338329   0.000000   0.000000   0.018639      49498
        36     206695      1.81347299 4132.24462891    1.086e+10   3.4472e+09   7.3348e+11   5.0251e+07   1.4358e+10   2.55220000   0.00391270 21431.605918 4921.390839 4542.12158203      49500 21432.864717 4922.471984 4180.19441823          0          0          0   0.577625  -1.887183   0.207062  -0.017470   4.720957   3.233380   0.042103   8.394585  16.980750 3811.767678 176.608382 139.340594   2.332199   8.607019   0.378264   0.000000   0.000000   0.021131      49500
        38     119063      1.65686083 3060.95141602   9.6921e+09   2.9848e+09   1.1044e+11   4.7351e+07   1.2724e+10   3.25650000   0.00514890 21557.966159 4960.270738 3599.53735352      49501 21556.644867 4961.105544 3767.86875888          1          0          0   0.591891  -2.027675   0.375038  -0.022875   3.522636   3.591950   0.124628   7.664306  17.444490 3570.237612 162.679205 147.862976   2.179600   6.522882   0.316592   0.000000   0.000000   0.061237      49501
        38     119061      1.65681410 12214.65917969    2.651e+10   2.2049e+10    2.293e+12   8.7897e+07   4.8648e+10  30.17630000   0.00552240 21584.366210 5069.470920 13175.54687500      49502 21585.222304 5072.811262 12666.31413331          0          0          0   0.535819  -1.857016  -0.020783  -0.054664   4.768438   3.302056   0.253658  14.631623  26.716776 11742.105479 269.148570 254.969595   1.865865  14.020480   0.532195   0.004405   0.000000   0.097864      49502
