snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        27     144285      2.75487375 1555.67736816   8.6635e+09   2.3886e+09    3.182e+11   2.4778e+07   1.1077e+10   5.60600000   0.00310080 19776.083317 5006.113115 1555.67736816      49468 19775.679656 5006.942666 1398.98022342          0          0          0   0.479334  -1.691423  -0.415143  -0.087567   4.616954   2.540468   0.061429   4.658767   9.104139 1344.139317  87.679656  65.942666   1.131523   4.325135   0.231757   0.000000   0.000000   0.029721      49468
        44     223947      1.29516518  43.13221359   5.3444e+07   9.6138e+07   8.2675e+08    1523100.0   1.5111e+08   0.04590000   0.00002317 19313.122759 4858.153392  43.13221359      49474 19319.231363 4880.702852  78.51982299          0          0          0   0.422272  -1.467783  -0.852579  -0.112972   0.957688   2.247649   0.121802   6.859190  11.831336  91.616212  31.231363  35.702852   0.605382   5.802112   0.785743   0.005025   0.000000   0.121564      49474
        29     220049      2.48099303 326.85552979   7.8041e+08   1.6629e+09   2.2836e+11    1841100.0   2.4451e+09   1.60230000   0.00017108 6037.878506 4877.234776 326.85552979      49477 6037.646188 4877.245601 246.63964705          0          0          0   0.506351  -1.634020  -0.321189  -0.052842   2.315882   2.579527   0.195972   4.178747   7.739946 246.385624  45.646315  43.245809   1.159169   3.533763   0.549957   0.000000   0.000000   0.130828      49477
        29     220051      2.48092294  33.69300842   1.1719e+08   5.3827e+08   4.5169e+09          0.0   6.5546e+08   0.13600000   0.00000000 6054.678519 4894.994817  33.69300842      49478 6051.653480 4895.447825  27.88376916          1          0          0   0.562381  -1.473012  -0.155419   0.025008   0.480906   3.039436   0.594106   7.048900  14.877040  47.196385  24.653480  23.447825   0.366225   4.263159   0.289009   0.027273   0.000000   0.102442      49478
        32     361053      2.12074304 197.89518738    6.662e+08   1.8834e+09   1.0186e+11    1722900.0   2.5513e+09   0.80930000   0.00007511 17175.680978 4889.715451 197.89518738      49480 17177.997436 4890.299434 166.92827232          0          0          0   0.595036  -1.237190  -0.157201   0.090116   0.952112   2.948249   0.678917   6.017427  13.214764 182.115518  38.997436  53.299434   1.071658   6.462519   0.679185   0.066890   0.043415   0.243695      49480
        22      54803      3.66887355  50.82822800   1.8973e+08   6.5262e+08   1.9769e+09          0.0   8.4235e+08   1.02210000   0.00000000 18504.081941 4880.594271  50.82822800      49497 18503.033087 4878.696003  59.91037571          0          0          0   0.384733  -1.384824  -1.095890  -0.138605   1.278156   2.175626   0.266018   5.010345   7.463478  63.934286  28.033087  23.696003   0.565052   4.467803   0.902556   0.011494   0.000000   0.114837      49497
        22      54802      3.66890121 1338.97253418   4.1991e+09   5.7346e+09   4.4811e+11    4811100.0   9.9385e+09  28.89310000   0.00521870 18501.681939 4894.754294 1338.97253418      49498 18502.080033 4895.178359 1245.79101748          0          0          0   0.495265  -1.662290  -0.356474  -0.067746   5.778579   2.508601   0.100239   3.797505   7.348204 1200.716475  62.080026  49.178369   1.137846   3.540925   0.376393   0.000000   0.000000   0.030568      49498
        36     206695      1.81347299 4132.24462891    1.086e+10   3.4472e+09   7.3348e+11   5.0251e+07   1.4358e+10   2.55220000   0.00391270 21431.605918 4921.390839 4132.24462891      49500 21432.864717 4922.471984 3849.39625118          0          0          0   0.596821  -2.047214   0.412984  -0.020710   4.340154   3.606564   0.073582   8.613997  17.839796 3503.152298 176.864865 139.471923   2.853968   8.326234   0.436078   0.017078   0.004637   0.022282      49500
        38     119063      1.65686083 3060.95141602   9.6921e+09   2.9848e+09   1.1044e+11   4.7351e+07   1.2724e+10   3.25650000   0.00514890 21557.966159 4960.270738 3060.95141602      49501 21556.644867 4961.105544 3289.22210306          1          0          0   0.613850  -2.109820   0.540663  -0.012554   3.063929   4.013447   0.159786   8.561320  18.653166 3095.475814 162.644794 148.105798   3.186480   7.099180   0.290622   0.042328   0.047008   0.060892      49501
        38     119061      1.65681410 12214.65917969    2.651e+10   2.2049e+10    2.293e+12   8.7897e+07   4.8648e+10  30.17630000   0.00552240 21584.366210 5069.470920 12214.65917969      49502 21585.222304 5072.811262 11880.89046859          0          0          0   0.531482  -1.871601  -0.032145  -0.060986   4.511961   3.392076   0.306669  15.846559  26.763630 10842.392072 269.221272 255.810962   2.132161  15.336380   0.589985   0.020314   0.043313   0.100361      49502
