snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        65       7362      0.56591803 2044.23413086   1.2934e+09          0.0   3.2068e+10    2038400.0   1.2955e+09   0.00000000   0.00000000 21197.365488 5172.311647 821.37890625      49508 21201.223700 5176.059780 858.23507841          0          0          0   0.796454  -0.921712   0.621192   0.333371   0.549402   3.122506   0.802787  98.312779 109.550627 2312.469706 208.082628 179.212167   1.858252  23.989869   1.839020   0.135958   0.028364   0.103563      49508
        27      50149      2.75346398 7422.39404297   2.9752e+10   9.0717e+09   1.5679e+12   8.4098e+07   3.8908e+10  28.03760000   0.01172300 21775.646589 5271.551052 3796.19458008      49513 21770.067190 5264.174197 6002.73517893          0          1          0   0.712287  -1.283922   0.455579   0.199699   2.709317   4.117825   0.693696  16.494599  34.109997 5450.510086 175.120916 215.474224  16.630040 527.742097   0.984826   0.117021   0.231414   0.300984      49513
        65       7750      0.56596029 917.92797852   5.4732e+08          0.0   6.1826e+08          0.0   5.4732e+08   0.00000000   0.00000000 21696.926431 5313.071242 282.57257080      49519 21696.746701 5311.899728 457.07841843          1          0          0   0.487740  -1.584189  -0.447845  -0.064340   3.161341   2.670487   0.064405   4.852224   7.248491 377.342266  47.616619  62.728356   3.795172   9.806066   0.625181   0.024129   0.029551   0.078028      49519
        65     475004      0.56316268 1042.49121094   3.0768e+08   6.2843e+08   4.1025e+10    2098200.0   9.3821e+08   0.13940000   0.00002323 22255.047607 5362.630556 795.39801025      49523 22251.012293 5368.949012 916.82426979          0          0          0   0.609870  -1.662664   0.211081   0.045661   1.084989   3.007365   0.410817  15.025462  32.018307 944.646084 164.319249 147.138505   1.010046  12.737997   0.338242   0.043155   0.719580   0.008945      49523
        65       7471      0.56595892 6857.28515625    1.235e+09   4.6411e+08   2.2411e+09          0.0   1.6991e+09   1.09590000   0.00000000 21654.926348 5369.111407 6384.54052734      49527 21636.574117 5359.405213 7738.29240872          1          0          0   0.793609  -0.877793   0.576675   0.336660   1.380396   1.029178   0.110447  69.530219 118.771200 14430.065840 406.128827 261.682562   1.691722  90.811503   0.904351   0.000000   0.000000   0.121537      49527
        62     349648      0.64046383 1060.55285645   3.9548e+08   1.2984e+09   1.4115e+11    1554200.0   1.6955e+09   0.18520000   0.00001603 22360.647844 5415.070511 797.48767090      49535 22348.417670 5424.229781 1254.95641140          1          0          0   0.672798  -0.743165  -0.114638   0.235770   0.976405   1.790591   0.667003  28.316258  49.975731 1335.337901 199.327703 156.879915   1.762523  13.277930   0.260813   0.000000   0.000000   0.100601      49535
        29     112539      2.36534548 6624.39355469   2.4316e+10   5.0797e+09    9.522e+11   8.3849e+07   2.9479e+10  27.29090000   0.09098500 21631.526302 5461.511614 2996.54589844      49540 21623.933579 5454.522818 5118.41845864          1          1          0   0.658646  -1.009346  -0.000224   0.184761   1.753976   1.005372   1.185345  48.307349  84.614424 8387.559859 271.094957 233.858284   1.000000  48.307349   0.834729   0.000000   0.000000   0.005065      49540
        55     428496      0.83346796 13303.98339844   9.3582e+09   5.4477e+09   3.4063e+11   1.6578e+07   1.4822e+10   3.90580000   0.00140990 22230.447552 5479.270827 9219.30175781      49541 22226.592986 5483.998519 9858.17384089          0          0          0   0.553640  -1.315863  -0.307587   0.038199   2.881062   2.736836   0.529238  20.448019  44.137106 9753.721350 250.642518 304.985092   0.410896  14.986506   0.445098   0.970149   0.699843   0.573834      49541
        65       7403      0.56596941 20533.81640625   2.0281e+09   1.2477e+09   4.0921e+09          0.0   3.2757e+09   9.40530000   0.00000000 21724.646487 5471.591509 20532.80078125      49542 21723.156194 5470.164105 22050.35901852          1          0          0   0.543010  -1.628915  -0.143261  -0.015839  37.271342   2.260636   0.064319   4.760177   6.642528 20801.468693 100.994971  82.839954   0.693421   1.833442   1.669999   0.000000   0.000000   0.183132      49542
        65       7518      0.56597155 1851.39282227   1.0626e+08   1.6918e+09   2.2105e+09          0.0    1.798e+09   1.34120000   0.00000000 21584.966211 5476.151703 2147.83105469      49543 21574.335339 5474.221585 2778.81336381          0          0          0   0.437832  -1.420985  -0.807989  -0.091063   3.942700   2.382227   0.408205  11.253138  19.147398 2452.048384 178.046222 113.315933   1.162598   8.889226   0.897720   1.000000   0.000000   0.099445      49543
